apt	3.0.3	/usr/share/doc/apt/copyright
base-files	13.8+deb13u6	/usr/share/doc/base-files/copyright
base-passwd	3.6.7	/usr/share/doc/base-passwd/copyright
bash	5.2.37-2+b9	/usr/share/doc/bash/copyright
bsdutils	1:2.41.5-0+deb13u1	/usr/share/doc/bsdutils/copyright
ca-certificates	20250419	/usr/share/doc/ca-certificates/copyright
coreutils	9.7-3	/usr/share/doc/coreutils/copyright
curl	8.14.1-2+deb13u4	/usr/share/doc/curl/copyright
dash	0.5.12-12	/usr/share/doc/dash/copyright
debconf	1.5.91	/usr/share/doc/debconf/copyright
debian-archive-keyring	2025.1	/usr/share/doc/debian-archive-keyring/copyright
debianutils	5.23.2	/usr/share/doc/debianutils/copyright
diffutils	1:3.10-4	/usr/share/doc/diffutils/copyright
dpkg	1.22.22	/usr/share/doc/dpkg/copyright
findutils	4.10.0-3	/usr/share/doc/findutils/copyright
gawk	1:5.2.1-2+b2	/usr/share/doc/gawk/copyright
gcc-14-base	14.2.0-19	/usr/share/doc/gcc-14-base/copyright
git	1:2.47.3-0+deb13u1	/usr/share/doc/git/copyright
git-man	1:2.47.3-0+deb13u1	/usr/share/doc/git-man/copyright
grep	3.11-4+b1	/usr/share/doc/grep/copyright
gzip	1.13-1	/usr/share/doc/gzip/copyright
hostname	3.25	/usr/share/doc/hostname/copyright
init-system-helpers	1.69~deb13u1	/usr/share/doc/init-system-helpers/copyright
libacl1	2.3.2-2+b1	/usr/share/doc/libacl1/copyright
libapt-pkg7.0	3.0.3	/usr/share/doc/libapt-pkg7.0/copyright
libattr1	1:2.5.2-3	/usr/share/doc/libattr1/copyright
libaudit-common	1:4.0.2-2	/usr/share/doc/libaudit-common/copyright
libaudit1	1:4.0.2-2+b2	/usr/share/doc/libaudit1/copyright
libblkid1	2.41.5-0+deb13u1	/usr/share/doc/libblkid1/copyright
libbrotli1	1.1.0-2+b7	/usr/share/doc/libbrotli1/copyright
libbsd0	0.12.2-2	/usr/share/doc/libbsd0/copyright
libbz2-1.0	1.0.8-6	/usr/share/doc/libbz2-1.0/copyright
libc-bin	2.41-12+deb13u3	/usr/share/doc/libc-bin/copyright
libc6	2.41-12+deb13u3	/usr/share/doc/libc6/copyright
libcap-ng0	0.8.5-4+b1	/usr/share/doc/libcap-ng0/copyright
libcap2	1:2.75-10+deb13u1+b1	/usr/share/doc/libcap2/copyright
libcom-err2	1.47.2-3+b11	/usr/share/doc/libcom-err2/copyright
libcrypt1	1:4.4.38-1	/usr/share/doc/libcrypt1/copyright
libcurl3t64-gnutls	8.14.1-2+deb13u4	/usr/share/doc/libcurl3t64-gnutls/copyright
libcurl4t64	8.14.1-2+deb13u4	/usr/share/doc/libcurl4t64/copyright
libdb5.3t64	5.3.28+dfsg2-9	/usr/share/doc/libdb5.3t64/copyright
libdebconfclient0	0.280	/usr/share/doc/libdebconfclient0/copyright
liberror-perl	0.17030-1	/usr/share/doc/liberror-perl/copyright
libexpat1	2.7.1-2	/usr/share/doc/libexpat1/copyright
libffi8	3.4.8-2	/usr/share/doc/libffi8/copyright
libgcc-s1	14.2.0-19	/usr/share/doc/libgcc-s1/copyright
libgdbm-compat4t64	1.24-2	/usr/share/doc/libgdbm-compat4t64/copyright
libgdbm6t64	1.24-2	/usr/share/doc/libgdbm6t64/copyright
libgmp10	2:6.3.0+dfsg-3	/usr/share/doc/libgmp10/copyright
libgnutls30t64	3.8.9-3+deb13u4	/usr/share/doc/libgnutls30t64/copyright
libgssapi-krb5-2	1.21.3-5+deb13u1	/usr/share/doc/libgssapi-krb5-2/copyright
libhogweed6t64	3.10.1-1	/usr/share/doc/libhogweed6t64/copyright
libidn2-0	2.3.8-2	/usr/share/doc/libidn2-0/copyright
libk5crypto3	1.21.3-5+deb13u1	/usr/share/doc/libk5crypto3/copyright
libkeyutils1	1.6.3-6	/usr/share/doc/libkeyutils1/copyright
libkrb5-3	1.21.3-5+deb13u1	/usr/share/doc/libkrb5-3/copyright
libkrb5support0	1.21.3-5+deb13u1	/usr/share/doc/libkrb5support0/copyright
liblastlog2-2	2.41.5-0+deb13u1	/usr/share/doc/liblastlog2-2/copyright
libldap2	2.6.10+dfsg-1	/usr/share/doc/libldap2/copyright
liblz4-1	1.10.0-4	/usr/share/doc/liblz4-1/copyright
liblzma5	5.8.1-1+deb13u1	/usr/share/doc/liblzma5/copyright
libmd0	1.1.0-2+b1	/usr/share/doc/libmd0/copyright
libmount1	2.41.5-0+deb13u1	/usr/share/doc/libmount1/copyright
libmpfr6	4.2.2-1	/usr/share/doc/libmpfr6/copyright
libncursesw6	6.5+20250216-2	/usr/share/doc/libncursesw6/copyright
libnettle8t64	3.10.1-1	/usr/share/doc/libnettle8t64/copyright
libnghttp2-14	1.64.0-1.1+deb13u1	/usr/share/doc/libnghttp2-14/copyright
libnghttp3-9	1.8.0-1	/usr/share/doc/libnghttp3-9/copyright
libngtcp2-16	1.11.0-1+deb13u1	/usr/share/doc/libngtcp2-16/copyright
